City_ID,City,Country,Max Temp,City_Descr,Lat,Lng,Hotel Name
2,Cockburn Town,TC,87.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
5,Tazmalt,DZ,77.0,overcast clouds,36.39,4.4,Hôtel Numédia
6,Diffa,NE,83.62,clear sky,13.32,12.61,ProDAF/Diffa
10,Labuhan,ID,75.6,scattered clouds,-6.88,112.21,bador sepret
19,Eydhafushi,MV,82.22,clear sky,5.1,73.07,Soneva Fushi
20,Hithadhoo,MV,83.73,clear sky,-0.6,73.08,Scoop Guest House
22,Hilo,US,80.6,light rain,19.73,-155.09,Hilo Hawaiian Hotel
25,Ribeira Grande,PT,75.2,broken clouds,38.52,-28.7,Quinta da Meia Eira
30,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
31,Gharghoda,IN,75.97,light rain,22.17,83.35,Jageshwer House
34,Atuona,PF,79.16,clear sky,-9.8,-139.03,Villa Enata
36,Kapaa,US,82.99,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
38,Bethel,US,81.0,few clouds,41.37,-73.41,Courtyard by Marriott Danbury
39,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
45,Port Blair,IN,82.11,overcast clouds,11.67,92.75,Fortune Resort Bay Island
50,Sola,VU,78.94,broken clouds,-13.88,167.55,Leumerus Bungalows
53,Mayskiy,RU,75.2,scattered clouds,47.69,40.1,Dio Lakrua
56,Natal,BR,80.6,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
57,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
58,Kudahuvadhoo,MV,82.62,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
59,Buchanan,LR,77.0,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
70,Neepawa,CA,86.0,few clouds,50.23,-99.47,"Westway Inn Motel, Neepawa"
77,Tera,NE,82.44,scattered clouds,14.01,0.75,Hotel Daressalam Téra
78,Kavieng,PG,81.54,light rain,-2.57,150.8,Nusa Island Retreat
84,Cabra,ES,82.99,scattered clouds,37.47,-4.44,MS Fuente Las Piedras
86,Sao Joao Da Barra,BR,77.0,few clouds,-21.64,-41.05,Pousada Porto De Canoas
89,Hambantota,LK,79.14,overcast clouds,6.12,81.12,Bungalow 63
90,Bengkulu,ID,75.79,scattered clouds,-3.8,102.27,Grage Hotel Bengkulu
93,Capoterra,IT,78.8,broken clouds,39.18,8.97,B&B I Girasoli Fioriti
97,Arraial Do Cabo,BR,77.0,overcast clouds,-22.97,-42.03,Pousada Porto Praia
101,Luganville,VU,75.2,broken clouds,-15.53,167.17,The Espiritu Hotel
108,Kango,GA,78.3,overcast clouds,0.19,10.1,Le Flamboyant du Como
111,Mormugao,IN,79.38,light rain,15.4,73.8,Hotel La-Paz Gardens
117,Port-Gentil,GA,75.2,overcast clouds,-0.72,8.78,Fengshui Residence
118,Amahai,ID,75.29,broken clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
124,Nantucket,US,75.2,clear sky,41.28,-70.1,Jared Coffin House
125,Butaritari,KI,83.26,clear sky,3.07,172.79,Isles Sunset Lodge
127,Ponta Do Sol,PT,75.2,few clouds,32.67,-17.1,Hotel do Campo
136,Gushikawa,JP,82.4,scattered clouds,26.35,127.87,Kirari Guest House
139,Sakakah,SA,80.6,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
141,Fortuna,US,78.01,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
142,Arzachena,IT,82.4,broken clouds,41.08,9.39,Hotel Citti
150,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
152,Tual,ID,77.99,broken clouds,-5.67,132.75,Grand Vilia Hotel
154,Lorengau,PG,81.55,light rain,-2.02,147.27,Lorengau Harbourside Hotel
156,Sanaur,IN,82.4,broken clouds,30.3,76.46,Ram Sharan Kasana
161,Kibungo,RW,75.2,scattered clouds,-2.16,30.54,Kibungo - Centre St. Joseph Guest House
176,The Valley,AI,87.8,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
180,Kirakira,SB,80.28,broken clouds,-10.45,161.92,SanBiz Lodge
184,Tonantins,BR,87.89,broken clouds,-2.87,-67.8,Hotel Rei Davi
186,Annau,TM,78.8,clear sky,37.89,58.52,Buzmein Sokak
189,Mayo,US,88.0,clear sky,38.89,-76.51,Resorts Resource Group International
191,Nipawin,CA,87.8,clear sky,53.37,-104.0,Tobin Lake Motel
193,Jalu,LY,84.36,clear sky,29.03,21.55,Jalu Hotel
203,Sorong,ID,77.61,light rain,-0.88,131.25,The Waigo Hotel
204,San Patricio,MX,78.8,broken clouds,19.22,-104.7,Hotel Cabo Blanco
207,Kismayo,SO,77.52,overcast clouds,-0.36,42.55,Agan-Hotel
211,Cayenne,GF,86.0,clear sky,4.93,-52.33,Hôtel Le Dronmi
212,Jinxiang,CN,80.51,moderate rain,22.86,115.7,Haiyun Holiday Hotel
215,Bridgton,US,81.0,broken clouds,44.05,-70.71,Noble House Inn
223,Kloulklubed,PW,83.55,overcast clouds,7.04,134.26,Storyboard Beach Resort
224,Jagtial,IN,76.06,light rain,18.8,78.93,Somulaxmni water plant
226,Bathsheba,BB,86.0,broken clouds,13.22,-59.52,Atlantis Hotel
228,Victoria,HK,80.01,heavy intensity rain,22.29,114.16,Mini Hotel Central
237,Porto Novo,BJ,77.0,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
242,Puerto Asis,CO,87.8,broken clouds,0.51,-76.5,Hotel Pakarii Puerto Asís
245,Babu,CN,75.85,overcast clouds,24.42,111.52,IU Hotel Hezhou Bus Terminal
248,Flin Flon,CA,80.6,scattered clouds,54.77,-101.86,Victoria Inn Flin Flon
251,Mechetinskaya,RU,76.32,broken clouds,46.77,40.46,"Stoyanka, Shinomontazh, Dush"
256,Makakilo City,US,84.2,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
258,Camargo,MX,87.67,overcast clouds,27.67,-105.17,Hotel Santa Fe
267,Alugan,PH,77.32,light rain,12.22,125.48,BEMBEM RAIN FEED RESORT
268,Lingao,CN,78.01,broken clouds,19.91,109.69,Lingao Ditai Inn
270,Umm Lajj,SA,87.82,clear sky,25.02,37.27,Moon light Furnished Units
282,Eyl,SO,78.24,scattered clouds,7.98,49.82,Amiin Hotel
284,Alofi,NU,76.14,broken clouds,-19.06,-169.92,Taloa Heights
286,Yarmouth,US,80.6,clear sky,41.71,-70.23,The Inn At Cape Cod
289,Zhifang,CN,86.0,scattered clouds,30.35,114.32,Echarm Hotel Jiangxia Zhongbai Plaza
293,Onalaska,US,80.6,scattered clouds,43.88,-91.24,Stoney Creek Hotel & Conference Center
297,Sur,OM,84.83,overcast clouds,22.57,59.53,Sur Plaza Hotel
300,Lodwar,KE,83.44,overcast clouds,3.12,35.6,Turkwel Lodge
