City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City_Descr
0,Bredasdorp,ZA,2020-08-18 20:34:54,-34.53,20.04,50.0,76,76,5.82,broken clouds
1,Avarua,CK,2020-08-18 20:31:31,-21.21,-159.78,73.4,73,83,17.22,light rain
2,Cockburn Town,TC,2020-08-18 20:34:55,21.46,-71.14,87.8,70,40,9.17,scattered clouds
3,Rikitea,PF,2020-08-18 20:34:55,-23.12,-134.97,71.96,79,0,10.63,clear sky
4,Bambous Virieux,MU,2020-08-18 20:34:56,-20.34,57.76,72.0,73,20,10.29,few clouds
5,Tazmalt,DZ,2020-08-18 20:34:56,36.39,4.4,77.0,78,99,2.24,overcast clouds
6,Diffa,NE,2020-08-18 20:34:57,13.32,12.61,83.62,57,3,6.13,clear sky
7,Soe,ID,2020-08-18 20:34:57,-9.86,124.28,60.51,89,83,2.95,broken clouds
8,Vaini,TO,2020-08-18 20:34:57,-21.2,-175.2,73.4,100,90,34.14,moderate rain
9,Tsabong,BW,2020-08-18 20:34:58,-26.02,22.4,39.33,59,0,11.1,clear sky
10,Labuhan,ID,2020-08-18 20:34:58,-6.88,112.21,75.6,80,43,7.87,scattered clouds
11,Pevek,RU,2020-08-18 20:34:58,69.7,170.31,39.99,86,94,10.45,overcast clouds
12,Mabai,CN,2020-08-18 20:34:59,23.01,104.45,60.22,100,100,1.66,light rain
13,Port Alfred,ZA,2020-08-18 20:35:00,-33.59,26.89,54.68,70,100,32.64,light rain
14,Hermanus,ZA,2020-08-18 20:35:01,-34.42,19.23,43.0,91,75,6.6,broken clouds
15,Toora-Khem,RU,2020-08-18 20:35:01,52.47,96.11,50.25,87,48,1.97,scattered clouds
16,Hofn,IS,2020-08-18 20:35:01,64.25,-15.21,50.0,87,96,17.11,overcast clouds
17,Cape Town,ZA,2020-08-18 20:35:02,-33.93,18.42,53.01,70,20,3.36,few clouds
18,Barrow,US,2020-08-18 20:31:45,71.29,-156.79,46.4,100,90,17.22,overcast clouds
19,Eydhafushi,MV,2020-08-18 20:35:03,5.1,73.07,82.22,67,1,2.57,clear sky
20,Hithadhoo,MV,2020-08-18 20:35:03,-0.6,73.08,83.73,76,0,10.47,clear sky
21,Agadez,NE,2020-08-18 20:35:07,19.75,10.25,94.23,11,0,9.4,clear sky
22,Hilo,US,2020-08-18 20:34:51,19.73,-155.09,80.6,61,50,8.05,light rain
23,Worksop,GB,2020-08-18 20:31:41,53.3,-1.12,66.0,88,9,3.36,clear sky
24,Antalaha,MG,2020-08-18 20:35:25,-14.9,50.28,66.31,83,1,8.14,clear sky
25,Ribeira Grande,PT,2020-08-18 20:35:28,38.52,-28.7,75.2,94,75,26.4,broken clouds
26,Tura,IN,2020-08-18 20:35:31,25.52,90.22,74.48,94,38,3.98,scattered clouds
27,Mount Gambier,AU,2020-08-18 20:35:34,-37.83,140.77,46.4,93,90,5.84,light intensity shower rain
28,Sisimiut,GL,2020-08-18 20:35:37,66.94,-53.67,57.06,52,43,4.59,scattered clouds
29,Ushuaia,AR,2020-08-18 20:32:58,-54.8,-68.3,33.8,90,90,26.4,snow
30,Puerto Ayora,EC,2020-08-18 20:35:45,-0.74,-90.35,77.0,65,40,24.16,scattered clouds
31,Gharghoda,IN,2020-08-18 20:35:48,22.17,83.35,75.97,94,100,3.27,light rain
32,Cherskiy,RU,2020-08-18 20:35:51,68.75,161.3,44.78,80,99,9.82,light rain
33,Mataura,NZ,2020-08-18 20:35:57,-46.19,168.86,46.53,78,100,5.3,overcast clouds
34,Atuona,PF,2020-08-18 20:36:00,-9.8,-139.03,79.16,74,2,21.23,clear sky
35,Lata,PT,2020-08-18 20:36:03,40.16,-8.33,73.99,67,0,5.99,clear sky
36,Kapaa,US,2020-08-18 20:35:37,22.08,-159.32,82.99,69,40,12.75,scattered clouds
37,Yasnyy,RU,2020-08-18 20:36:09,51.03,59.87,49.3,78,0,14.63,clear sky
38,Bethel,US,2020-08-18 20:36:15,41.37,-73.41,81.0,42,20,8.05,few clouds
39,Georgetown,MY,2020-08-18 20:35:49,5.41,100.34,80.6,94,20,4.03,few clouds
40,Nurota,UZ,2020-08-18 20:36:29,40.56,65.69,62.38,30,0,5.57,clear sky
41,Rosario,AR,2020-08-18 20:36:32,-32.95,-60.64,73.0,22,0,17.22,clear sky
42,Berlevag,NO,2020-08-18 20:36:35,70.86,29.09,51.8,76,75,8.05,broken clouds
43,New Norfolk,AU,2020-08-18 20:36:38,-42.78,147.06,39.99,85,12,2.35,few clouds
44,Chuy,UY,2020-08-18 20:36:09,-33.7,-53.46,55.22,87,0,4.7,clear sky
45,Port Blair,IN,2020-08-18 20:36:47,11.67,92.75,82.11,79,100,14.27,overcast clouds
46,Luena,AO,2020-08-18 20:36:52,-11.78,19.92,64.24,27,0,2.75,clear sky
47,Hobart,AU,2020-08-18 20:35:05,-42.88,147.33,42.8,81,75,9.17,broken clouds
48,Souillac,MU,2020-08-18 20:37:02,-20.52,57.52,71.6,73,20,10.29,few clouds
49,Houma,US,2020-08-18 20:37:05,29.6,-90.72,93.0,62,75,5.82,broken clouds
50,Sola,VU,2020-08-18 20:37:08,-13.88,167.55,78.94,86,71,9.48,broken clouds
51,Batagay-Alyta,RU,2020-08-18 20:37:11,67.8,130.41,44.94,88,100,9.33,light rain
52,Esperance,AU,2020-08-18 20:37:14,-33.87,121.9,46.4,100,75,13.87,broken clouds
53,Mayskiy,RU,2020-08-18 20:37:18,47.69,40.1,75.2,44,32,6.71,scattered clouds
54,Yellowknife,CA,2020-08-18 20:37:27,62.46,-114.35,62.01,87,75,9.17,light rain
55,Mar Del Plata,AR,2020-08-18 20:35:04,-38.0,-57.56,52.0,57,97,11.41,smoke
56,Natal,BR,2020-08-18 20:32:35,-5.79,-35.21,80.6,78,40,11.41,scattered clouds
57,Kahului,US,2020-08-18 20:37:36,20.89,-156.47,87.8,52,40,19.46,scattered clouds
58,Kudahuvadhoo,MV,2020-08-18 20:37:43,2.67,72.89,82.62,68,58,5.41,broken clouds
59,Buchanan,LR,2020-08-18 20:37:46,5.88,-10.05,77.0,94,75,9.64,broken clouds
60,Juneau,US,2020-08-18 20:33:20,58.3,-134.42,57.2,82,90,4.7,light rain
61,San Rafael,AR,2020-08-18 20:37:55,-34.62,-68.33,54.77,40,49,6.62,scattered clouds
62,Castro,BR,2020-08-18 20:38:01,-24.79,-50.01,60.53,93,100,7.34,overcast clouds
63,Busselton,AU,2020-08-18 20:38:04,-33.65,115.33,42.01,77,21,4.92,few clouds
64,Albany,US,2020-08-18 20:36:21,42.6,-73.97,78.01,43,14,9.91,few clouds
65,Raudeberg,NO,2020-08-18 20:38:10,61.99,5.14,64.0,85,0,4.54,clear sky
66,Kawalu,ID,2020-08-18 20:37:23,-7.38,108.21,68.9,92,72,2.42,broken clouds
67,Codrington,AU,2020-08-18 20:38:16,-38.27,141.97,46.8,96,100,4.72,moderate rain
68,Bluff,NZ,2020-08-18 20:36:25,-46.6,168.33,48.34,77,100,10.25,overcast clouds
69,Juruti,BR,2020-08-18 20:38:22,-2.15,-56.09,95.31,32,42,4.32,scattered clouds
70,Neepawa,CA,2020-08-18 20:37:14,50.23,-99.47,86.0,51,20,2.24,few clouds
71,Gravdal,NO,2020-08-18 20:38:28,68.12,13.5,51.8,81,90,1.12,overcast clouds
72,Prince Rupert,CA,2020-08-18 20:38:31,54.32,-130.32,62.6,72,1,6.93,clear sky
73,Karaman,TR,2020-08-18 20:37:33,37.08,33.25,57.74,36,0,2.15,clear sky
74,Mahebourg,MU,2020-08-18 20:38:36,-20.41,57.7,71.6,73,20,10.29,few clouds
75,Te Anau,NZ,2020-08-18 20:38:37,-45.42,167.72,44.92,86,93,1.1,overcast clouds
76,Dzhebariki-Khaya,RU,2020-08-18 20:38:37,62.22,135.8,46.31,85,90,2.04,overcast clouds
77,Tera,NE,2020-08-18 20:38:38,14.01,0.75,82.44,68,42,18.45,scattered clouds
78,Kavieng,PG,2020-08-18 20:38:38,-2.57,150.8,81.54,77,2,8.05,light rain
79,Marsabit,KE,2020-08-18 20:36:42,2.33,37.99,65.7,77,49,19.53,scattered clouds
80,Jamestown,US,2020-08-18 20:36:02,42.1,-79.24,73.0,49,1,13.87,clear sky
81,Beringovskiy,RU,2020-08-18 20:38:39,63.05,179.32,52.75,60,19,11.14,few clouds
82,Vardo,NO,2020-08-18 20:36:11,70.37,31.11,51.8,81,88,16.11,overcast clouds
83,Wynyard,AU,2020-08-18 20:38:40,-41.0,145.72,42.01,91,100,3.0,overcast clouds
84,Cabra,ES,2020-08-18 20:38:40,37.47,-4.44,82.99,34,31,1.19,scattered clouds
85,Pangnirtung,CA,2020-08-18 20:38:41,66.15,-65.71,48.2,81,75,10.29,broken clouds
86,Sao Joao Da Barra,BR,2020-08-18 20:38:41,-21.64,-41.05,77.0,73,19,20.8,few clouds
87,Qarqin,AF,2020-08-18 20:38:41,37.42,66.04,74.62,20,0,18.19,clear sky
88,Kibala,TD,2020-08-18 20:38:42,9.11,18.35,73.63,90,100,1.72,overcast clouds
89,Hambantota,LK,2020-08-18 20:38:42,6.12,81.12,79.14,82,85,15.35,overcast clouds
90,Bengkulu,ID,2020-08-18 20:38:42,-3.8,102.27,75.79,84,37,4.68,scattered clouds
91,Rivera,UY,2020-08-18 20:38:43,-30.91,-55.55,59.94,75,46,4.09,scattered clouds
92,Saskylakh,RU,2020-08-18 20:38:43,71.92,114.08,44.1,85,100,12.33,overcast clouds
93,Capoterra,IT,2020-08-18 20:38:43,39.18,8.97,78.8,74,62,11.41,broken clouds
94,Clyde River,CA,2020-08-18 20:38:44,70.47,-68.59,60.8,59,75,5.82,broken clouds
95,Teguldet,RU,2020-08-18 20:38:44,57.31,88.17,59.92,93,100,9.01,overcast clouds
96,Tuktoyaktuk,CA,2020-08-18 20:38:44,69.45,-133.04,60.8,55,20,12.75,few clouds
97,Arraial Do Cabo,BR,2020-08-18 20:38:45,-22.97,-42.03,77.0,83,99,12.75,overcast clouds
98,Nikolskoye,RU,2020-08-18 20:38:45,59.7,30.79,55.99,76,29,4.21,scattered clouds
99,Grindavik,IS,2020-08-18 20:36:40,63.84,-22.43,51.8,100,75,14.99,broken clouds
100,Pacific Grove,US,2020-08-18 20:38:46,36.62,-121.92,91.0,60,1,6.93,smoke
101,Luganville,VU,2020-08-18 20:38:46,-15.53,167.17,75.2,83,75,4.7,broken clouds
102,Port Elizabeth,ZA,2020-08-18 20:38:46,-33.92,25.57,50.0,93,50,21.92,heavy intensity rain
103,Port Macquarie,AU,2020-08-18 20:38:47,-31.43,152.92,44.6,100,0,4.7,clear sky
104,Mollendo,PE,2020-08-18 20:38:47,-17.02,-72.01,59.29,72,89,7.85,overcast clouds
105,Skjervoy,NO,2020-08-18 20:38:47,70.03,20.97,52.3,83,94,4.61,overcast clouds
106,Santa Maria,BR,2020-08-18 20:38:48,-29.68,-53.81,73.4,69,40,3.36,scattered clouds
107,Arlit,NE,2020-08-18 20:38:48,18.74,7.39,95.47,27,63,1.41,broken clouds
108,Kango,GA,2020-08-18 20:38:48,0.19,10.1,78.3,77,100,4.43,overcast clouds
109,Severo-Kurilsk,RU,2020-08-18 20:38:48,50.68,156.12,50.9,89,95,13.2,overcast clouds
110,Kodiak,US,2020-08-18 20:38:49,57.79,-152.41,56.52,77,95,4.76,overcast clouds
111,Mormugao,IN,2020-08-18 20:38:49,15.4,73.8,79.38,88,89,11.59,light rain
112,Saint George,US,2020-08-18 20:36:05,37.1,-113.58,108.0,13,1,3.36,clear sky
113,Suntar,RU,2020-08-18 20:38:50,62.14,117.63,46.8,70,14,3.65,few clouds
114,Luderitz,NA,2020-08-18 20:36:47,-26.65,15.16,56.53,49,0,23.4,clear sky
115,Leon Valley,US,2020-08-18 20:38:50,29.5,-98.62,100.0,30,40,3.36,scattered clouds
116,Saint-Joseph,RE,2020-08-18 20:38:51,-21.37,55.62,66.2,77,34,5.82,light rain
117,Port-Gentil,GA,2020-08-18 20:38:51,-0.72,8.78,75.2,94,90,16.15,overcast clouds
118,Amahai,ID,2020-08-18 20:38:51,-3.33,128.92,75.29,82,72,2.21,broken clouds
119,Mwinilunga,ZM,2020-08-18 20:38:52,-11.74,24.43,62.73,30,0,3.06,clear sky
120,Empangeni,ZA,2020-08-18 20:38:52,-28.76,31.89,60.53,46,100,5.79,overcast clouds
121,Tasiilaq,GL,2020-08-18 20:35:59,65.61,-37.64,48.2,76,20,2.24,few clouds
122,Aitape,PG,2020-08-18 20:38:53,-3.14,142.35,75.45,80,31,5.06,scattered clouds
123,Hervey Bay,AU,2020-08-18 20:37:05,-25.3,152.85,66.99,82,0,16.11,clear sky
124,Nantucket,US,2020-08-18 20:38:54,41.28,-70.1,75.2,69,1,16.11,clear sky
125,Butaritari,KI,2020-08-18 20:35:49,3.07,172.79,83.26,71,2,11.59,clear sky
126,Coari,BR,2020-08-18 20:38:55,-4.08,-63.14,94.12,38,72,0.83,broken clouds
127,Ponta Do Sol,PT,2020-08-18 20:38:56,32.67,-17.1,75.2,73,20,6.93,few clouds
128,Saint-Philippe,RE,2020-08-18 20:38:56,-21.36,55.77,66.2,77,43,5.82,light rain
129,Villa Maria,AR,2020-08-18 20:38:56,-32.41,-63.24,66.0,24,0,5.01,clear sky
130,Provideniya,RU,2020-08-18 20:38:57,64.38,-173.3,53.42,68,100,7.2,overcast clouds
131,Straumen,NO,2020-08-18 20:38:57,63.87,11.3,64.99,82,4,6.93,clear sky
132,Guerrero Negro,MX,2020-08-18 20:38:57,27.98,-114.06,91.06,38,0,12.28,clear sky
133,Plettenberg Bay,ZA,2020-08-18 20:38:57,-34.05,23.37,51.75,72,96,18.25,light rain
134,Mehamn,NO,2020-08-18 20:38:58,71.04,27.85,51.8,76,75,8.05,broken clouds
135,Malyye Derbety,RU,2020-08-18 20:38:58,47.95,44.68,75.65,45,82,4.9,broken clouds
136,Gushikawa,JP,2020-08-18 20:38:59,26.35,127.87,82.4,94,40,3.36,scattered clouds
137,Foumban,CM,2020-08-18 20:38:59,5.73,10.9,65.66,97,93,0.87,overcast clouds
138,Pisco,PE,2020-08-18 20:39:00,-13.7,-76.22,68.0,68,47,19.46,scattered clouds
139,Sakakah,SA,2020-08-18 20:39:00,29.97,40.21,80.6,13,0,3.36,clear sky
140,Coquimbo,CL,2020-08-18 20:39:00,-29.95,-71.34,53.6,66,75,6.93,broken clouds
141,Fortuna,US,2020-08-18 20:37:01,40.6,-124.16,78.01,60,100,3.0,overcast clouds
142,Arzachena,IT,2020-08-18 20:39:01,41.08,9.39,82.4,61,81,11.41,broken clouds
143,Sitka,US,2020-08-18 20:39:01,57.05,-135.33,59.0,82,75,4.7,broken clouds
144,Baykit,RU,2020-08-18 20:39:02,61.67,96.37,52.92,68,79,3.62,broken clouds
145,Srednekolymsk,RU,2020-08-18 20:39:02,67.45,153.68,49.55,56,95,2.24,overcast clouds
146,Namtsy,RU,2020-08-18 20:39:02,62.72,129.67,41.0,64,93,2.24,overcast clouds
147,Haines Junction,CA,2020-08-18 20:39:03,60.75,-137.51,62.47,49,45,1.45,scattered clouds
148,Lagoa,PT,2020-08-18 20:39:03,39.05,-27.98,74.17,92,29,25.26,light rain
149,Nchelenge,ZM,2020-08-18 20:39:03,-9.35,28.73,70.39,45,0,5.53,clear sky
150,Touros,BR,2020-08-18 20:39:04,-5.2,-35.46,78.8,78,40,11.41,scattered clouds
151,Saldanha,ZA,2020-08-18 20:39:05,-33.01,17.94,50.0,76,100,4.7,overcast clouds
152,Tual,ID,2020-08-18 20:39:05,-5.67,132.75,77.99,83,74,11.61,broken clouds
153,Sulphur,US,2020-08-18 20:39:08,30.24,-93.38,95.0,34,1,5.82,clear sky
154,Lorengau,PG,2020-08-18 20:37:03,-2.02,147.27,81.55,77,55,7.81,light rain
155,Longyearbyen,SJ,2020-08-18 20:38:36,78.22,15.64,42.8,81,75,11.41,light rain
156,Sanaur,IN,2020-08-18 20:39:09,30.3,76.46,82.4,32,75,2.24,broken clouds
157,Vao,NC,2020-08-18 20:39:09,-22.67,167.48,68.36,63,62,10.71,broken clouds
158,Cherepovets,RU,2020-08-18 20:38:19,59.13,37.9,46.4,100,11,4.12,few clouds
159,Wagar,SD,2020-08-18 20:39:10,16.15,36.2,85.19,57,63,18.3,broken clouds
160,Upernavik,GL,2020-08-18 20:39:11,72.79,-56.15,47.89,62,100,8.63,overcast clouds
161,Kibungo,RW,2020-08-18 20:39:11,-2.16,30.54,75.2,47,40,6.93,scattered clouds
162,Abapo,BO,2020-08-18 20:39:12,-18.83,-63.47,87.31,33,60,14.38,broken clouds
163,Atbasar,KZ,2020-08-18 20:39:12,51.8,68.33,56.01,78,95,7.63,light rain
164,Usinsk,RU,2020-08-18 20:39:13,65.99,57.53,53.96,86,89,13.42,overcast clouds
165,Saravan,AM,2020-08-18 20:37:31,39.72,45.65,71.6,49,75,16.11,broken clouds
166,Whitianga,NZ,2020-08-18 20:39:14,-36.83,175.7,57.0,96,100,15.01,moderate rain
167,Khatanga,RU,2020-08-18 20:39:15,71.97,102.5,48.22,71,57,13.04,broken clouds
168,Mandurah,AU,2020-08-18 20:35:19,-32.55,115.7,41.0,100,40,1.99,scattered clouds
169,Zalantun,CN,2020-08-18 20:39:15,48.0,122.72,53.01,79,81,5.82,broken clouds
170,Nabire,ID,2020-08-18 20:39:15,-3.37,135.48,74.62,89,99,4.45,moderate rain
171,Atambua,ID,2020-08-18 20:39:16,-9.11,124.89,67.3,83,100,3.62,overcast clouds
172,Sinteu,RO,2020-08-18 20:39:16,47.15,22.48,66.2,93,99,4.7,overcast clouds
173,Port Hardy,CA,2020-08-18 20:38:36,50.7,-127.42,60.8,87,90,5.82,light rain
174,Barra Patuca,HN,2020-08-18 20:39:17,15.8,-84.28,83.77,79,97,6.82,light rain
175,Uusikaupunki,FI,2020-08-18 20:39:17,60.8,21.41,59.0,93,0,1.12,clear sky
176,The Valley,AI,2020-08-18 20:37:07,18.22,-63.06,87.8,66,20,18.34,few clouds
177,Crixas,BR,2020-08-18 20:39:18,-14.55,-49.97,91.53,20,61,4.16,broken clouds
178,Nanortalik,GL,2020-08-18 20:39:18,60.14,-45.24,51.66,62,0,4.83,clear sky
179,Komsomolskiy,UZ,2020-08-18 20:39:19,40.43,71.72,66.2,72,57,2.24,light rain
180,Kirakira,SB,2020-08-18 20:39:19,-10.45,161.92,80.28,83,74,7.34,broken clouds
181,Carman,CA,2020-08-18 20:39:20,49.5,-98.0,91.99,39,16,1.01,few clouds
182,Talaya,RU,2020-08-18 20:39:20,61.38,152.75,48.16,72,100,2.15,overcast clouds
183,Kropotkin,RU,2020-08-18 20:39:20,45.44,40.58,69.01,38,0,4.9,clear sky
184,Tonantins,BR,2020-08-18 20:39:21,-2.87,-67.8,87.89,59,76,1.88,broken clouds
185,Chokurdakh,RU,2020-08-18 20:39:21,70.63,147.92,37.53,81,80,8.39,broken clouds
186,Annau,TM,2020-08-18 20:39:21,37.89,58.52,78.8,29,0,4.7,clear sky
187,Hovd,MN,2020-08-18 20:37:04,48.01,91.64,62.78,48,93,3.6,overcast clouds
188,Bilibino,RU,2020-08-18 20:39:23,68.05,166.44,44.29,71,99,5.77,overcast clouds
189,Mayo,US,2020-08-18 20:36:06,38.89,-76.51,88.0,48,1,5.82,clear sky
190,Quatre Cocos,MU,2020-08-18 20:39:23,-20.21,57.76,72.0,73,20,10.29,few clouds
191,Nipawin,CA,2020-08-18 20:39:23,53.37,-104.0,87.8,43,1,9.17,clear sky
192,Mackenzie,CA,2020-08-18 20:39:24,55.3,-123.17,60.8,67,90,11.41,moderate rain
193,Jalu,LY,2020-08-18 20:39:24,29.03,21.55,84.36,36,0,10.47,clear sky
194,Huron,US,2020-08-18 20:39:25,41.15,-82.55,75.0,53,0,4.0,clear sky
195,Krasnoselkup,RU,2020-08-18 20:39:25,65.7,82.47,57.34,62,67,10.36,broken clouds
196,Aykino,RU,2020-08-18 20:39:25,62.22,49.99,46.74,95,100,9.64,light rain
197,Beyneu,KZ,2020-08-18 20:39:26,45.32,55.2,70.21,56,0,8.93,clear sky
198,Camacupa,AO,2020-08-18 20:39:26,-12.02,17.48,63.23,27,1,1.9,clear sky
199,Cidreira,BR,2020-08-18 20:36:53,-30.18,-50.21,62.06,96,100,11.45,moderate rain
200,Zonguldak,TR,2020-08-18 20:39:27,41.25,31.83,60.44,74,0,3.67,clear sky
201,Carnarvon,AU,2020-08-18 20:36:15,-24.87,113.63,59.0,77,32,11.41,scattered clouds
202,Weinan,CN,2020-08-18 20:39:27,34.5,109.51,66.99,100,90,6.71,moderate rain
203,Sorong,ID,2020-08-18 20:39:27,-0.88,131.25,77.61,86,100,7.83,light rain
204,San Patricio,MX,2020-08-18 20:39:28,19.22,-104.7,78.8,83,75,9.17,broken clouds
205,Kampene,CD,2020-08-18 20:39:28,-3.6,26.67,75.72,62,30,2.46,scattered clouds
206,Cooma,AU,2020-08-18 20:39:29,-36.23,149.13,42.8,89,40,9.17,scattered clouds
207,Kismayo,SO,2020-08-18 20:39:29,-0.36,42.55,77.52,80,90,15.84,overcast clouds
208,Yumen,CN,2020-08-18 20:39:29,40.28,97.2,64.49,26,3,8.5,clear sky
209,Solnechnyy,RU,2020-08-18 20:39:30,50.72,136.63,51.53,92,19,3.49,few clouds
210,Nangong,CN,2020-08-18 20:39:30,37.36,115.37,66.81,92,99,6.64,light rain
211,Cayenne,GF,2020-08-18 20:39:31,4.93,-52.33,86.0,66,0,6.93,clear sky
212,Jinxiang,CN,2020-08-18 20:39:31,22.86,115.7,80.51,86,98,14.67,moderate rain
213,Lasa,IT,2020-08-18 20:39:31,46.62,10.7,55.4,93,75,4.7,light rain
214,Qaqortoq,GL,2020-08-18 20:35:53,60.72,-46.03,64.4,39,20,6.93,few clouds
215,Bridgton,US,2020-08-18 20:39:32,44.05,-70.71,81.0,66,54,1.01,broken clouds
216,Gazli,UZ,2020-08-18 20:39:33,40.13,63.45,64.63,28,0,4.56,clear sky
217,Antofagasta,CL,2020-08-18 20:34:55,-23.65,-70.4,59.0,62,40,13.87,scattered clouds
